Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2009,22,PIT,NL,108,493,433,74,124,26,9,12,54,22,5,54,83,.286,.365,.471,.836,121,204,3,2,0,4,2,8,RoY-4
2010,23,PIT,NL,154,653,570,94,163,35,5,16,56,33,10,70,89,.286,.365,.449,.814,121,256,6,5,1,7,1,*8/H,
2011,24,PIT,NL,158,678,572,87,148,34,5,23,89,23,10,89,126,.259,.364,.456,.820,130,261,7,9,2,6,3,*8/HD,AS
2012,25,PIT,NL,157,673,593,107,194,29,6,31,96,20,12,70,132,.327,.400,.553,.953,162,328,9,5,0,5,13,*8/H,ASMVP-3GGSS
2013,26,PIT,NL,157,674,583,97,185,38,5,21,84,27,10,78,101,.317,.404,.508,.911,157,296,13,9,0,4,12,*8/HD,ASMVP-1SS
2014,27,PIT,NL,146,648,548,89,172,38,6,25,83,18,3,84,115,.314,.410,.542,.952,166,297,9,10,0,6,8,*8,ASMVP-3SS
2015,28,PIT,NL,157,685,566,91,165,36,3,23,96,11,5,98,133,.292,.401,.488,.889,144,276,9,12,0,9,12,*8/DH,ASMVP-5SS
2016,29,PIT,NL,153,675,598,81,153,26,3,24,79,6,7,69,143,.256,.336,.430,.766,104,257,15,5,0,3,7,*8/H,
2017,30,PIT,NL,156,650,570,94,159,30,2,28,88,11,5,73,116,.279,.363,.486,.849,123,277,10,4,0,3,5,*89/DH,
2018,31,TOT,MLB,155,682,569,83,145,30,3,20,65,14,9,95,145,.255,.368,.424,.792,120,241,12,11,0,7,1,*97/DH,
2018,31,SFG,NL,130,568,482,65,123,28,2,15,55,13,6,73,123,.255,.357,.415,.772,115,200,11,7,0,6,1,*9/HD,
2018,31,NYY,AL,25,114,87,18,22,2,1,5,10,1,3,22,22,.253,.421,.471,.892,145,41,1,4,0,1,0,97/D,
2019,32,PHI,NL,59,262,219,45,56,12,1,10,29,2,1,43,55,.256,.378,.457,.834,116,100,1,0,0,0,0,78/D,
2020,33,PHI,NL,57,241,217,32,55,9,0,10,34,4,0,22,48,.253,.324,.433,.757,102,94,4,1,0,1,0,7D/H,
