
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2007,23,MIL,NL,113,492,451,91,146,26,6,34,97,15,5,29,112,.324,.370,.634,1.004,154,286,13,7,0,5,1,*5/H,MVP-24RoY-1
2008,24,MIL,NL,151,663,611,92,174,39,7,37,106,14,4,42,129,.285,.335,.553,.888,130,338,13,6,0,4,4,*7/HD,ASMVP-3SS
2009,25,MIL,NL,158,708,635,113,203,39,6,32,114,20,6,57,121,.320,.386,.551,.937,146,350,6,13,0,3,1,*7/H,ASMVP-11SS
2010,26,MIL,NL,157,685,619,101,188,45,1,25,103,14,3,56,105,.304,.365,.501,.866,131,310,17,6,0,3,1,*7/HD,ASMVP-15SS
2011,27,MIL,NL,150,629,563,109,187,38,6,33,111,33,6,58,93,.332,.397,.597,.994,166,336,9,5,0,3,2,*7/HD,ASMVP-1SS
2012,28,MIL,NL,154,677,598,108,191,36,3,41,112,30,7,63,128,.319,.391,.595,.987,158,356,12,11,0,5,15,*7/DH,ASMVP-2SS
2013,29,MIL,NL,61,253,225,30,67,14,2,9,38,4,5,27,56,.298,.372,.498,.869,136,112,8,0,0,1,7,7/H,
2014,30,MIL,NL,135,580,530,68,141,30,6,19,81,11,5,41,113,.266,.324,.453,.777,113,240,17,6,0,3,3,*9/8DH,
2015,31,MIL,NL,140,568,506,87,144,27,3,25,84,24,4,54,115,.285,.356,.498,.854,131,252,20,4,0,3,4,*9/HD,AS
2016,32,MIL,NL,135,564,511,80,156,23,3,30,91,16,5,46,98,.305,.365,.538,.903,135,275,20,4,0,3,10,*7/HD9,MVP-23
2017,33,MIL,NL,104,425,380,58,102,28,2,17,52,12,4,38,76,.268,.336,.487,.823,111,185,15,3,0,4,2,7/HD,
2018,34,MIL,NL,125,447,405,59,103,25,1,20,64,11,5,34,85,.254,.313,.469,.782,107,190,8,2,0,3,5,7H3/D9,
2019,35,MIL,NL,144,508,459,70,131,31,2,22,75,11,1,34,105,.285,.343,.505,.849,116,232,15,8,0,3,1,*7H/D9,
2020,36,MIL,NL,39,141,129,14,30,7,1,8,26,1,0,7,27,.233,.281,.488,.769,101,63,6,2,0,1,0,9D/H3,
14 Yrs,14 Yrs,14 Yrs,14 Yrs,1766,7340,6622,1080,1963,408,49,352,1154,216,60,586,1363,.296,.358,.532,.891,134,3525,179,77,0,44,56,,
162 Game Avg.\bat_glossary.shtml#162_avg,162 Game Avg.\bat_glossary.shtml#162_avg,162 Game Avg.\bat_glossary.shtml#162_avg,162 Game Avg.\bat_glossary.shtml#162_avg,162,673,607,99,180,37,4,32,106,20,6,54,125,.296,.358,.532,.891,134,323,16,7,0,4,5,,
