Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2004,21,STL,NL,51,151,135,12,36,6,0,2,15,0,1,13,20,.267,.329,.356,.684,78,48,4,0,2,1,3,2/H,
2005,22,STL,NL,114,421,385,36,97,15,1,8,49,2,3,23,30,.252,.295,.358,.654,70,138,10,2,8,3,3,*2/3,
2006,23,STL,NL,129,461,417,29,90,26,0,6,49,1,2,26,41,.216,.274,.321,.595,53,134,15,8,8,2,2,*2/3H,
2007,24,STL,NL,111,396,353,30,97,15,0,6,40,1,1,34,43,.275,.340,.368,.708,85,130,18,3,2,4,5,2/H3,
2008,25,STL,NL,124,485,444,37,135,18,0,7,56,0,2,32,29,.304,.349,.392,.740,96,174,21,1,3,5,4,*2/H3D,GG
2009,26,STL,NL,140,544,481,45,141,23,1,6,54,9,3,50,39,.293,.366,.383,.749,100,184,27,6,6,1,2,*2/3H,ASMVP-23GG
2010,27,STL,NL,136,521,465,34,122,19,0,6,62,8,4,42,51,.262,.329,.342,.671,84,159,19,7,2,5,6,*2/3,ASGG
2011,28,STL,NL,139,518,475,55,145,32,1,14,65,4,5,33,44,.305,.349,.465,.814,124,221,21,1,5,4,4,*2/3H,ASMVP-21GG
2012,29,STL,NL,138,563,505,65,159,28,0,22,76,12,3,45,55,.315,.373,.501,.874,137,253,10,5,3,5,4,*2/H3,ASMVP-4GG
2013,30,STL,NL,136,541,505,68,161,44,0,12,80,3,2,30,55,.319,.359,.477,.836,129,241,14,3,0,3,4,*2/3H,ASMVP-3GGSS
2014,31,STL,NL,110,445,404,40,114,21,0,7,38,1,1,28,55,.282,.333,.386,.719,102,156,14,6,1,6,4,2/D3H,ASGG
2015,32,STL,NL,136,530,488,34,132,23,2,4,61,3,1,32,59,.270,.310,.350,.660,80,171,16,0,1,9,3,*2/HD,ASGG
2016,33,STL,NL,147,581,534,56,164,38,1,8,58,3,2,39,63,.307,.360,.427,.787,111,228,22,6,0,2,1,*2/3H,MVP-23
2017,34,STL,NL,136,543,501,60,137,27,1,18,82,9,4,28,74,.273,.312,.439,.751,96,220,14,4,1,9,4,*2/H3,AS
2018,35,STL,NL,123,503,459,55,120,20,0,20,74,4,3,29,66,.261,.314,.436,.750,103,200,15,9,0,6,0,*2/3H,ASGG
2019,36,STL,NL,113,452,419,45,113,24,0,10,57,6,0,23,58,.270,.312,.399,.711,87,167,14,5,0,5,0,*2/3H5,
2020,37,STL,NL,42,156,145,12,38,2,0,4,16,0,0,6,21,.262,.303,.359,.662,81,52,7,3,1,1,0,*2/3,
